,predicate,precision,recall,f1
0,all,0.797,0.7792,0.788
1,Affect,0.8879,0.8646,0.8761
2,Status,0.6111,0.6286,0.6197
3,Lane,0.799,0.8073,0.8031
4,Direction,0.8556,0.804,0.829
5,Near,0.8715,0.8342,0.8525
6,Between,1.0,0.8333,0.9091
7,Arrangement,0.5,0.1667,0.25
8,Location,0.5,0.5,0.5
